DEPARTMENT_ID,DEPARTMENT_NAME,MANAGER_ID,LOCATION_ID
10,ADMINISTRATION,200,1700
20,MARKETING,201,1800
30,PURCHASING,114,1700
40,HUMAN RESOURCES,203,2400
50,SHIPPING,121,1500
60,IT,103,1400
70,PUBLIC RELATIONS,204,2700
80,SALES,145,2500
90,EXECUTIVE,100,1700
100,FINANCE,108,1700
110,ACCOUNTING,205,1700
120,TREASURY,,1700
130,CORPORATE TAX,,1700
140,CONTROL AND CREDIT,,1700
150,SHAREHOLDER SERVICES,,1700
160,BENEFITS,,1700
170,MANUFACTURING,,1700
180,CONSTRUCTION,,1700
190,CONTRACTING,,1700
200,OPERATIONS,,1700
210,IT SUPPORT,,1700
220,NOC,,1700
230,IT HELPDESK,,1700
240,GOVERNMENT SALES,,1700
250,RETAIL SALES,,1700
260,RECRUITING,,1700
270,PAYROLL,,1700
